sub,date,nTrials,nRightTrials,nLeftTrials,Perf,probeID,probeType,regions,nUnits
456773,20191002,581,386,210,80.31088083,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'right ALM', 'left Medulla', 'right Medulla']","[299, 265, 412, 251]"
456773,20191003,507,327,213,79.81651376,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'right ALM', 'left Medulla', 'right Medulla']","[122, 176, 339, 300]"
456773,20191004,491,320,174,83.75,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'right ALM', 'left Medulla', 'right Medulla']","[237, 282, 401, 286]"
456773,20191005,700,461,220,87.63557484,"['17216703352', '18408406312', '18408406182', '18005107871']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'right ALM', 'left Medulla', 'right Medulla']","[250, 231, 386, 240]"
460432,20191220,490,351,174,70.08547009,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']","['right ALM', 'left Medulla', 'right Midbrain']","[183, 190, 239]"
460436,20200107,541,392,216,87.24489796,"['19011116163', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']","['left ALM', 'left Midbrain', 'right Medulla']","[375, 165, 210]"
460436,20200108,640,452,261,88.27433628,"['19011116163', '19011111614', '19011111142']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - SS', 'neuropixels 2.0 - MS']","['left ALM', 'left Midbrain', 'right Medulla']","[254, 160, 208]"
460436,20200109,517,329,116,78.72340426,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']","['right ALM', 'left Medulla', 'right Midbrain']","[300, 155, 172]"
460436,20200110,500,328,158,89.93902439,"['19011116163', '19011111142', '19011111614']","['neuropixels 2.0 - MS', 'neuropixels 2.0 - MS', 'neuropixels 2.0 - SS']","['right ALM', 'left Medulla', 'right Midbrain']","[211, 140, 200]"
479121,20200923,530,361,215,82.54847645,"['18005106822', '18005107871', '18408406312', '18194809181', '18408406182']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'right ALM', 'left Medulla', 'right Medulla']","[357, 268, 782, 373]"
479121,20200924,629,456,236,92.98245614,"['18005107812', '18005107871', '18408406182', '18408406312', '18194809181']","['neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'right ALM', 'left Medulla', 'right Medulla']","[207, 217, 364, 1196]"
484676,20210413,550,389,192,90.23136247,"['19011111614', '19011116163', '18005123392', '18005123682']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - MS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'left Striatum', 'left Midbrain', 'right Medulla']","[290, 346, 332, 375]"
484676,20210414,620,407,210,90.41769042,"['19011111614', '19011116163', '18005123392', '18005123682']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - MS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'left Striatum', 'left Midbrain', 'right Medulla']","[330, 270, 247, 372]"
484676,20210415,550,379,178,89.18205805,"['19011111614', '19122511894', '18005123682', '18005123392']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'left Striatum', 'left Midbrain', 'right Medulla']","[148, 189, 275, 231]"
484676,20210416,680,450,245,84.22222222,"['19011111614', '19122511894', '18005123682', '18005123392']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'left Striatum', 'left Midbrain', 'right Medulla']","[190, 161, 209, 362]"
484676,20210419,600,350,178,86.85714286,"['19122511894', '19011111614', '18194809181', '18408406312', '18005123682']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['right Striatum', 'right ALM', 'left Medulla', 'right Midbrain']","[195, 184, 878, 205]"
484676,20210420,534,368,162,75.27173913,"['19122511894', '19011111614', '18194809181', '18408406312', '18005123682']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['right Striatum', 'right ALM', 'left Medulla', 'right Midbrain']","[189, 127, 826, 288]"
484676,20210421,640,406,172,78.81773399,"['19122511894', '19011111614', '18005123682', '18005123392']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['right Striatum', 'right ALM', 'left Medulla', 'right Midbrain']","[179, 155, 367, 281]"
484677,20210413,700,451,306,84.4789357,"['19011111614', '19011116163', '18005123392', '18194809181', '18408406312']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - MS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['left ALM', 'left Striatum', 'left Midbrain', 'right Medulla']","[175, 164, 318, 1097]"
484677,20210418,720,482,305,78.21576763,"['19122511894', '19011111614', '18194809181', '18408406312', '18005123682']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['right Striatum', 'right ALM', 'left Medulla', 'right Midbrain']","[198, 326, 933, 301]"
484677,20210420,650,447,239,80.08948546,"['19122511894', '19011111614', '18194809181', '18408406312', '18005123682']","['neuropixels 2.0 - SS', 'neuropixels 2.0 - SS', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B', 'neuropixels 1.0 - 3B']","['right Striatum', 'right ALM', 'left Medulla', 'right Midbrain']","[110, 82, 659, 306]"
